Region_Sheet,Region,Discount_Rate_%,Load_Profile,Cost_PVBatt,Cost_Diesel,Diesel_Price_Code,System,System_raw,Percent_Load_Target,PV_kW,Battery_kW,Battery_kWh,Generator_kW,Fuel_cost_$,REopt_LCC_$,PV_capex_$,PV_OandM_$,Battery_capex_$,Battery_OandM_$,Diesel_capex_$,Diesel_OandM_kW_$,Diesel_OandM_kWh_$,LCOE_$_per_kWh
Accra_10,Accra,10,average,med,high,36,Diesel only,Diesel only,85,0.0,0.0,0.0,8.0,77918.90932056226,88447.8,0.0,0.0,0.0,0.0,5542.16,1702.712744,3281.143271632643,0.6200804805890514
Accra_10,Accra,10,average,med,high,44,Diesel only,Diesel only,85,0.0,0.0,0.0,8.0,95234.22250290943,105763.0,0.0,0.0,0.0,0.0,5542.16,1702.712744,3281.143271632642,0.74147205321715
Accra_10,Accra,10,average,med,low,32,Diesel only,Diesel only,85,0.0,0.0,0.0,8.0,46174.16848625912,54486.1,0.0,0.0,0.0,0.0,3325.28,1702.712744,3281.143271632643,0.3819853865604697
Accra_10,Accra,10,average,med,low,36,Diesel only,Diesel only,85,0.0,0.0,0.0,8.0,51945.93954704152,60257.9,0.0,0.0,0.0,0.0,3325.28,1702.712744,3281.143271632643,0.4224497114827842
Accra_10,Accra,10,average,med,low,44,Diesel only,Diesel only,85,0.0,0.0,0.0,8.0,63489.4816686063,71801.5,0.0,0.0,0.0,0.0,3325.28,1702.712744,3281.143271632643,0.5033783613274131
Accra_10,Accra,10,average,med,med,32,Diesel only,Diesel only,85,0.0,0.0,0.0,8.0,57717.71060782391,67138.2,0.0,0.0,0.0,0.0,4433.76,1702.712744,3281.143271632643,0.47068539095244705
Accra_10,Accra,10,average,med,med,36,Diesel only,Diesel only,85,0.0,0.0,0.0,8.0,64932.4244338019,74352.9,0.0,0.0,0.0,0.0,4433.76,1702.712744,3281.143271632643,0.5212654465706289
Accra_10,Accra,10,average,med,med,44,Diesel only,Diesel only,85,0.0,0.0,0.0,8.0,79361.8520857579,88782.3,0.0,0.0,0.0,0.0,4433.76,1702.712744,3281.143271632643,0.6224255578069928
Accra_10,Accra,10,average,high,high,32,PV+battery,PV+battery,85,18.095,4.448,39.968,0.0,0.0,98146.6,39809.21999999999,6778.366622269969,41350.8112959658,10208.15452421112,0.0,0.0,0.0,0.6880758017291713
Accra_10,Accra,10,average,high,high,36,PV+battery,PV+battery,85,18.095,4.448,39.968,0.0,0.0,98146.6,39809.21999999999,6778.366622269969,41350.8112959658,10208.15452421112,0.0,0.0,0.0,0.6880758017291713
