alternative,Q,Region,PLS,System,method,profile,rank
Lusaka_PLS85_Diesel only,0.7486576967785294,Lusaka,85,Diesel only,vikor,sustainable,10274
Accra_PLS85_Diesel only,0.7486576967785294,Accra,85,Diesel only,vikor,sustainable,10275
Lodwar_PLS85_Diesel only,0.7486576967785294,Lodwar,85,Diesel only,vikor,sustainable,10276
Lodwar_PLS85_Diesel only,0.7486576967785294,Lodwar,85,Diesel only,vikor,sustainable,10277
Lodwar_PLS85_Diesel only,0.7486576967785294,Lodwar,85,Diesel only,vikor,sustainable,10278
Accra_PLS85_Diesel only,0.7486576967785294,Accra,85,Diesel only,vikor,sustainable,10279
Lusaka_PLS85_PV+battery+diesel,0.748957802385892,Lusaka,85,PV+battery+diesel,vikor,sustainable,10280
Lodwar_PLS85_PV+battery+diesel,0.7490042762392527,Lodwar,85,PV+battery+diesel,vikor,sustainable,10281
Lusaka_PLS85_PV+battery+diesel,0.7490056683548985,Lusaka,85,PV+battery+diesel,vikor,sustainable,10282
Accra_PLS85_Diesel only,0.7490697558160999,Accra,85,Diesel only,vikor,sustainable,10283
Accra_PLS85_Diesel only,0.7490697558160999,Accra,85,Diesel only,vikor,sustainable,10284
Lusaka_PLS85_Diesel only,0.7490697558160999,Lusaka,85,Diesel only,vikor,sustainable,10285
Lodwar_PLS85_Diesel only,0.7490697558160999,Lodwar,85,Diesel only,vikor,sustainable,10286
Lusaka_PLS85_Diesel only,0.7490697558160999,Lusaka,85,Diesel only,vikor,sustainable,10287
Lusaka_PLS85_Diesel only,0.7490697558160999,Lusaka,85,Diesel only,vikor,sustainable,10288
Accra_PLS85_Diesel only,0.7490697558160999,Accra,85,Diesel only,vikor,sustainable,10289
Accra_PLS85_Diesel only,0.7490697558160999,Accra,85,Diesel only,vikor,sustainable,10290
Lodwar_PLS85_Diesel only,0.7490697558160999,Lodwar,85,Diesel only,vikor,sustainable,10291
Lusaka_PLS85_Diesel only,0.7490697558160999,Lusaka,85,Diesel only,vikor,sustainable,10292
Lodwar_PLS85_Diesel only,0.7490697558160999,Lodwar,85,Diesel only,vikor,sustainable,10293
Lodwar_PLS85_Diesel only,0.7490697558160999,Lodwar,85,Diesel only,vikor,sustainable,10294
Lusaka_PLS85_PV+battery+diesel,0.7491660142600829,Lusaka,85,PV+battery+diesel,vikor,sustainable,10295
Accra_PLS85_PV+battery+diesel,0.7491700404156159,Accra,85,PV+battery+diesel,vikor,sustainable,10296
