alternative,Q,Region,PLS,System,method,profile,rank
Lodwar_PLS100_PV+battery+diesel,0.1229732269705939,Lodwar,100,PV+battery+diesel,vikor,resilient,1647
Lodwar_PLS100_PV+battery+diesel,0.12298248907697851,Lodwar,100,PV+battery+diesel,vikor,resilient,1648
Lusaka_PLS100_PV+battery+diesel,0.12298483248951961,Lusaka,100,PV+battery+diesel,vikor,resilient,1649
Accra_PLS100_PV+battery,0.1230002224090608,Accra,100,PV+battery,vikor,resilient,1650
Accra_PLS100_PV+battery,0.1230002224090608,Accra,100,PV+battery,vikor,resilient,1651
Accra_PLS100_PV+battery,0.1230002224090608,Accra,100,PV+battery,vikor,resilient,1652
Accra_PLS100_PV+battery,0.1230002224090608,Accra,100,PV+battery,vikor,resilient,1653
Accra_PLS100_PV+battery,0.1230002224090608,Accra,100,PV+battery,vikor,resilient,1654
Accra_PLS100_PV+battery,0.1230002224090608,Accra,100,PV+battery,vikor,resilient,1655
Accra_PLS100_PV+battery,0.1230002224090608,Accra,100,PV+battery,vikor,resilient,1656
Accra_PLS100_PV+battery,0.1230002224090608,Accra,100,PV+battery,vikor,resilient,1657
Accra_PLS100_PV+battery,0.1230002224090608,Accra,100,PV+battery,vikor,resilient,1658
Accra_PLS100_Diesel only,0.12300297470565758,Accra,100,Diesel only,vikor,resilient,1659
Accra_PLS100_Diesel only,0.12300297470565758,Accra,100,Diesel only,vikor,resilient,1660
Accra_PLS100_Diesel only,0.12300297470565758,Accra,100,Diesel only,vikor,resilient,1661
Lodwar_PLS100_Diesel only,0.12300297470565758,Lodwar,100,Diesel only,vikor,resilient,1662
Lusaka_PLS100_Diesel only,0.12300297470565758,Lusaka,100,Diesel only,vikor,resilient,1663
Lusaka_PLS100_Diesel only,0.12300297470565758,Lusaka,100,Diesel only,vikor,resilient,1664
Lodwar_PLS100_Diesel only,0.12300297470565758,Lodwar,100,Diesel only,vikor,resilient,1665
Lodwar_PLS100_Diesel only,0.12300297470565758,Lodwar,100,Diesel only,vikor,resilient,1666
Lusaka_PLS100_Diesel only,0.12300297470565758,Lusaka,100,Diesel only,vikor,resilient,1667
Accra_PLS100_PV+battery,0.12304111848218385,Accra,100,PV+battery,vikor,resilient,1668
Accra_PLS100_PV+battery,0.12304111848218385,Accra,100,PV+battery,vikor,resilient,1669
Accra_PLS100_PV+battery,0.12304111848218385,Accra,100,PV+battery,vikor,resilient,1670
Accra_PLS100_PV+battery,0.12304111848218385,Accra,100,PV+battery,vikor,resilient,1671
Accra_PLS100_PV+battery,0.12304111848218385,Accra,100,PV+battery,vikor,resilient,1672
Accra_PLS100_PV+battery,0.12304111848218385,Accra,100,PV+battery,vikor,resilient,1673
Accra_PLS100_PV+battery,0.12304111848218385,Accra,100,PV+battery,vikor,resilient,1674
Accra_PLS100_PV+battery,0.12304111848218385,Accra,100,PV+battery,vikor,resilient,1675
Accra_PLS100_PV+battery,0.12304111848218385,Accra,100,PV+battery,vikor,resilient,1676
Lodwar_PLS100_PV+battery+diesel,0.12305887297946401,Lodwar,100,PV+battery+diesel,vikor,resilient,1677
Lusaka_PLS100_PV+battery+diesel,0.12317457976547859,Lusaka,100,PV+battery+diesel,vikor,resilient,1678
Lodwar_PLS100_PV+battery,0.12320155223324662,Lodwar,100,PV+battery,vikor,resilient,1679
Lodwar_PLS100_PV+battery,0.12320155223324662,Lodwar,100,PV+battery,vikor,resilient,1680
