alternative,score,Region,PLS,System,method,profile,rank
Accra_PLS85_PV+battery+diesel,0.8090931975759796,Accra,85,PV+battery+diesel,topsis,resilient,9120
Lusaka_PLS80_PV+battery+diesel,0.8090657523464132,Lusaka,80,PV+battery+diesel,topsis,resilient,9121
Accra_PLS95_PV+battery+diesel,0.8090649390935359,Accra,95,PV+battery+diesel,topsis,resilient,9122
Accra_PLS100_PV+battery+diesel,0.8090343400583867,Accra,100,PV+battery+diesel,topsis,resilient,9123
Lodwar_PLS90_PV+battery+diesel,0.8090240750761005,Lodwar,90,PV+battery+diesel,topsis,resilient,9124
Lusaka_PLS90_PV+battery+diesel,0.8089589022163444,Lusaka,90,PV+battery+diesel,topsis,resilient,9125
Lusaka_PLS80_PV+battery+diesel,0.8088593352445274,Lusaka,80,PV+battery+diesel,topsis,resilient,9126
Accra_PLS95_PV+battery+diesel,0.8088198207114933,Accra,95,PV+battery+diesel,topsis,resilient,9127
Accra_PLS90_PV+battery+diesel,0.8087938864440006,Accra,90,PV+battery+diesel,topsis,resilient,9128
Lusaka_PLS80_Diesel only,0.8087684169489249,Lusaka,80,Diesel only,topsis,resilient,9129
Lodwar_PLS80_Diesel only,0.8087684169489249,Lodwar,80,Diesel only,topsis,resilient,9130
Accra_PLS80_Diesel only,0.8087684169489249,Accra,80,Diesel only,topsis,resilient,9131
Accra_PLS80_Diesel only,0.8087684169489249,Accra,80,Diesel only,topsis,resilient,9132
Lodwar_PLS80_Diesel only,0.8087684169489249,Lodwar,80,Diesel only,topsis,resilient,9133
Accra_PLS80_Diesel only,0.8087684169489249,Accra,80,Diesel only,topsis,resilient,9134
Lusaka_PLS80_Diesel only,0.8087684169489249,Lusaka,80,Diesel only,topsis,resilient,9135
Lodwar_PLS80_Diesel only,0.8087684169489249,Lodwar,80,Diesel only,topsis,resilient,9136
Lusaka_PLS80_Diesel only,0.8087684169489249,Lusaka,80,Diesel only,topsis,resilient,9137
Lodwar_PLS85_PV+battery+diesel,0.8087224920982394,Lodwar,85,PV+battery+diesel,topsis,resilient,9138
Lodwar_PLS100_Diesel only,0.8086957586414731,Lodwar,100,Diesel only,topsis,resilient,9139
