alternative,Q,Region,PLS,System,method,profile,rank
Lusaka_PLS100_PV+battery+diesel,0.30787997924354554,Lusaka,100,PV+battery+diesel,vikor,economic,2289
Lodwar_PLS100_PV+battery+diesel,0.30789595655609975,Lodwar,100,PV+battery+diesel,vikor,economic,2290
Lodwar_PLS100_PV+battery+diesel,0.30794220194003713,Lodwar,100,PV+battery+diesel,vikor,economic,2291
Lusaka_PLS100_PV+battery+diesel,0.30830410488229537,Lusaka,100,PV+battery+diesel,vikor,economic,2292
Accra_PLS100_PV+battery+diesel,0.3084826088539648,Accra,100,PV+battery+diesel,vikor,economic,2293
Lusaka_PLS100_PV+battery+diesel,0.30860635425332233,Lusaka,100,PV+battery+diesel,vikor,economic,2294
Lusaka_PLS100_PV+battery+diesel,0.30862032248412113,Lusaka,100,PV+battery+diesel,vikor,economic,2295
Lusaka_PLS100_PV+battery+diesel,0.3086344970407697,Lusaka,100,PV+battery+diesel,vikor,economic,2296
Lodwar_PLS100_PV+battery+diesel,0.30872217302777843,Lodwar,100,PV+battery+diesel,vikor,economic,2297
Lodwar_PLS100_PV+battery+diesel,0.30874699741870754,Lodwar,100,PV+battery+diesel,vikor,economic,2298
Lodwar_PLS100_PV+battery+diesel,0.30886377967968853,Lodwar,100,PV+battery+diesel,vikor,economic,2299
Lusaka_PLS100_PV+battery+diesel,0.3088783015966347,Lusaka,100,PV+battery+diesel,vikor,economic,2300
Lodwar_PLS100_PV+battery+diesel,0.3091058133920636,Lodwar,100,PV+battery+diesel,vikor,economic,2301
Lusaka_PLS100_PV+battery+diesel,0.3091239937602958,Lusaka,100,PV+battery+diesel,vikor,economic,2302
Lusaka_PLS100_PV+battery+diesel,0.30914951633438353,Lusaka,100,PV+battery+diesel,vikor,economic,2303
Accra_PLS100_PV+battery+diesel,0.309195568405217,Accra,100,PV+battery+diesel,vikor,economic,2304
Lusaka_PLS100_PV+battery+diesel,0.3092145920142785,Lusaka,100,PV+battery+diesel,vikor,economic,2305
Accra_PLS100_PV+battery+diesel,0.30925499932282496,Accra,100,PV+battery+diesel,vikor,economic,2306
Accra_PLS100_PV+battery+diesel,0.3092940494667204,Accra,100,PV+battery+diesel,vikor,economic,2307
Accra_PLS100_PV+battery+diesel,0.3093155931549577,Accra,100,PV+battery+diesel,vikor,economic,2308
