algorithm,config,objective_best,objective_mean,objective_std,rho_mean,cr_mean,score_delta_mean,entropy_diff_mean,critic_diff_mean,merec_diff_mean,lopcow_diff_mean,mean_diff_mean,bayes_diff_mean,p_value_vs_baseline,significant_vs_baseline,better_than_baseline,w_w_cost,w_w_emissions,w_w_reliability,w_w_social,seed_best
ILS,ils_5,0.1054840664,0.1261998555,0.0293943466,1.0000000000,0.0000000000,0.4727779288,0.1262716812,0.1261998555,0.1300333788,0.1421976754,0.1306849710,0.1836293671,0.0000000000,True,True,0.1686690213,0.4400176185,0.2582314392,0.1330819210,411562256
ILS,ils_6,0.1054840664,0.1157994671,0.0176072016,1.0000000000,0.0000000000,0.4486170304,0.1151369608,0.1157994671,0.1185946219,0.1267710567,0.1199131600,0.1702774349,0.0000000000,True,True,0.1687079926,0.2554093740,0.4306938015,0.1451888318,427903213
ILS,ils_7,0.1054840664,0.1329809892,0.0302257614,1.0000000000,0.0000000000,0.4936230967,0.1349239083,0.1329809892,0.1405655722,0.1552221038,0.1358344601,0.1980066184,0.0000000000,True,True,0.1685559596,0.3912017430,0.3089207732,0.1313215241,411810896
ILS,ils_8,0.1054840664,0.1379134268,0.0317054824,1.0000000000,0.0000000000,0.4697489447,0.1391096910,0.1379134268,0.1452512027,0.1437329119,0.1370539480,0.1977841631,0.0000000000,True,True,0.1686206829,0.2813257103,0.1390347238,0.4110188829,558317196
LBH,lbh_1,0.1054840664,0.1604766594,0.0423379138,0.9958333333,0.0000000000,0.5569230089,0.1611292921,0.1604766594,0.1662041621,0.1814367603,0.1626072230,0.2243190438,0.0000000000,True,True,0.1685456101,0.2844154468,0.1835026256,0.3635363174,742692566
LBH,lbh_2,0.1054840664,0.1476007363,0.0395483116,1.0000000000,0.0000000000,0.5274120899,0.1475211754,0.1476007363,0.1530222042,0.1660562666,0.1495879130,0.2104685150,0.0000000000,True,True,0.1722957161,0.2068777803,0.3287766123,0.2920498914,705406365
LBH,lbh_3,0.1054840664,0.1661570101,0.0499043989,0.9958333333,0.0000000000,0.5371922443,0.1670767822,0.1661570101,0.1726540471,0.1856386688,0.1669682456,0.2301579336,0.0000000000,True,True,0.1709085460,0.2113176037,0.4598455870,0.1579282634,80049283
LBH,lbh_4,0.1054840664,0.1551968853,0.0530384527,0.9958333333,0.0000000000,0.4788290594,0.1560864313,0.1551968853,0.1610964450,0.1811980098,0.1587194427,0.2188385952,0.0000000000,True,True,0.1742892169,0.3455286830,0.1957553100,0.2844267901,556173155
LBH,lbh_5,0.1054840664,0.1570273720,0.0431628834,1.0000000000,0.0000000000,0.4977320715,0.1561998039,0.1570273720,0.1588098257,0.1885100117,0.1635940817,0.2180855235,0.0000000000,True,True,0.1686493861,0.4635517379,0.2348519149,0.1329469611,331107024
LBH,lbh_6,0.1054840664,0.1625450822,0.0502931530,0.9958333333,0.0000000000,0.5026887028,0.1633396922,0.1625450822,0.1679360262,0.1902268398,0.1659897827,0.2266717317,0.0000000000,True,True,0.1772519638,0.4956566285,0.1839926016,0.1430988061,24823131
LBH,lbh_7,0.1055871512,0.1628340388,0.0445448075,0.9916666667,0.0000000000,0.5474149049,0.1647871395,0.1628340388,0.1700757718,0.1834373980,0.1646329462,0.2279676206,0.0000000000,True,True,0.1683245174,0.2786844798,0.2607998119,0.2921911909,969815116
LBH,lbh_8,0.1054840664,0.1865325198,0.0383352585,0.9958333333,0.0000000000,0.5566987840,0.1892387870,0.1865325198,0.1954707261,0.2173205366,0.1882675336,0.2568807942,0.0000000000,True,True,0.1698859454,0.2359806292,0.3437236910,0.2504097343,221928085
